STATION_ID,WEATHER_ID,WEATHER_TYPE,DATE
USW00004781,WT01,Fog or ice fog or freezing fog,20200116
USW00014732,WT01,Fog or ice fog or freezing fog,20200116
USW00014732,WT08,Smoke or haze,20200116
USW00014733,WT01,Fog or ice fog or freezing fog,20200116
USW00014733,WT05,Hail,20200116
USW00014733,WT08,Smoke or haze,20200116
USW00014735,WT01,Fog or ice fog or freezing fog,20200116
USW00014735,WT04,Ice pellets,20200116
USW00014750,WT01,Fog or ice fog or freezing fog,20200116
USW00014757,WT01,Fog or ice fog or freezing fog,20200116
USW00014757,WT08,Smoke or haze,20200116
USW00014768,WT01,Fog or ice fog or freezing fog,20200116
USW00014768,WT08,Smoke or haze,20200116
USW00014771,WT01,Fog or ice fog or freezing fog,20200116
USW00014771,WT08,Smoke or haze,20200116
USW00064776,WT01,Fog or ice fog or freezing fog,20200116
USW00094725,WT01,Fog or ice fog or freezing fog,20200116
USW00094725,WT08,Smoke or haze,20200116
USW00094728,WT01,Fog or ice fog or freezing fog,20200116
USW00094728,WT08,Smoke or haze,20200116
USW00094740,WT01,Fog or ice fog or freezing fog,20200116
USW00094740,WT02,Heavy Fog,20200116
USW00094789,WT01,Fog or ice fog or freezing fog,20200116
USW00094790,WT01,Fog or ice fog or freezing fog,20200116
USW00094790,WT08,Smoke or haze,20200116
USC00304808,WT04,Ice pellets,20200117
USC00306867,WT01,Fog or ice fog or freezing fog,20200117
USC00309072,WT06,Glaze,20200117
USW00004725,WT01,Fog or ice fog or freezing fog,20200117
USW00004725,WT08,Smoke or haze,20200117
USW00004725,WT09,Blowing or drifting snow,20200117
USW00014771,WT09,Blowing or drifting snow,20200117
USW00094740,WT08,Smoke or haze,20200117
USC00300937,WT04,Ice pellets,20200118
USC00305673,WT06,Glaze,20200118
USC00306314,WT04,Ice pellets,20200118
USC00306525,WT04,Ice pellets,20200118
USC00306525,WT11,High or damaging wind,20200118
USC00306747,WT04,Ice pellets,20200118
USC00306747,WT06,Glaze,20200118
USC00309049,WT04,Ice pellets,20200118
USC00309049,WT06,Glaze,20200118
USW00004724,WT01,Fog or ice fog or freezing fog,20200118
USW00004725,WT01,Fog or ice fog or freezing fog,20200118
USW00004725,WT02,Heavy Fog,20200118
USW00004725,WT08,Smoke or haze,20200118
USW00004781,WT01,Fog or ice fog or freezing fog,20200118
USW00004781,WT02,Heavy Fog,20200118
USW00004781,WT04,Ice pellets,20200118
USW00004789,WT01,Fog or ice fog or freezing fog,20200118
USW00014732,WT01,Fog or ice fog or freezing fog,20200118
USW00014732,WT02,Heavy Fog,20200118
USW00014732,WT04,Ice pellets,20200118
USW00014732,WT08,Smoke or haze,20200118
USW00014733,WT01,Fog or ice fog or freezing fog,20200118
USW00014733,WT06,Glaze,20200118
USW00014735,WT05,Hail,20200118
USW00014735,WT09,Blowing or drifting snow,20200118
USW00014747,WT01,Fog or ice fog or freezing fog,20200118
USW00014748,WT01,Fog or ice fog or freezing fog,20200118
USW00014748,WT08,Smoke or haze,20200118
USW00014750,WT01,Fog or ice fog or freezing fog,20200118
USW00014750,WT02,Heavy Fog,20200118
USW00014750,WT08,Smoke or haze,20200118
USW00014757,WT01,Fog or ice fog or freezing fog,20200118
USW00014757,WT08,Smoke or haze,20200118
USW00014768,WT01,Fog or ice fog or freezing fog,20200118
USW00014768,WT02,Heavy Fog,20200118
USW00014768,WT04,Ice pellets,20200118
USW00014768,WT09,Blowing or drifting snow,20200118
USW00014771,WT01,Fog or ice fog or freezing fog,20200118
USW00014771,WT02,Heavy Fog,20200118
USW00054757,WT01,Fog or ice fog or freezing fog,20200118
USW00054757,WT08,Smoke or haze,20200118
USW00054773,WT01,Fog or ice fog or freezing fog,20200118
USW00054778,WT01,Fog or ice fog or freezing fog,20200118
USW00054787,WT01,Fog or ice fog or freezing fog,20200118
USW00054787,WT08,Smoke or haze,20200118
USW00054790,WT01,Fog or ice fog or freezing fog,20200118
USW00054790,WT08,Smoke or haze,20200118
USW00064775,WT01,Fog or ice fog or freezing fog,20200118
USW00064776,WT01,Fog or ice fog or freezing fog,20200118
USW00064776,WT08,Smoke or haze,20200118
USW00094704,WT01,Fog or ice fog or freezing fog,20200118
USW00094725,WT01,Fog or ice fog or freezing fog,20200118
USW00094728,WT01,Fog or ice fog or freezing fog,20200118
USW00094728,WT02,Heavy Fog,20200118
USW00094728,WT08,Smoke or haze,20200118
USW00094740,WT01,Fog or ice fog or freezing fog,20200118
USW00094740,WT08,Smoke or haze,20200118
USW00094745,WT01,Fog or ice fog or freezing fog,20200118
USW00094745,WT04,Ice pellets,20200118
USW00094789,WT01,Fog or ice fog or freezing fog,20200118
USW00094789,WT02,Heavy Fog,20200118
USW00094789,WT04,Ice pellets,20200118
USW00094790,WT01,Fog or ice fog or freezing fog,20200118
USW00094790,WT02,Heavy Fog,20200118
USW00094790,WT08,Smoke or haze,20200118
USC00300443,WT01,Fog or ice fog or freezing fog,20200119
USC00301309,WT01,Fog or ice fog or freezing fog,20200119
USC00301309,WT04,Ice pellets,20200119
USC00302197,WT04,Ice pellets,20200119
USC00302197,WT06,Glaze,20200119
USC00304564,WT04,Ice pellets,20200119
USC00304564,WT06,Glaze,20200119
USC00304808,WT04,Ice pellets,20200119
USC00304844,WT11,High or damaging wind,20200119
USC00305236,WT04,Ice pellets,20200119
USC00305236,WT06,Glaze,20200119
USC00306867,WT01,Fog or ice fog or freezing fog,20200119
USC00307750,WT01,Fog or ice fog or freezing fog,20200119
USC00307750,WT06,Glaze,20200119
USC00308910,WT04,Ice pellets,20200119
USC00308910,WT06,Glaze,20200119
USW00004725,WT01,Fog or ice fog or freezing fog,20200119
USW00004725,WT02,Heavy Fog,20200119
USW00004725,WT08,Smoke or haze,20200119
USW00004781,WT01,Fog or ice fog or freezing fog,20200119
USW00014733,WT01,Fog or ice fog or freezing fog,20200119
USW00014733,WT09,Blowing or drifting snow,20200119
USW00014750,WT01,Fog or ice fog or freezing fog,20200119
USW00014757,WT01,Fog or ice fog or freezing fog,20200119
USW00014768,WT01,Fog or ice fog or freezing fog,20200119
USW00014768,WT09,Blowing or drifting snow,20200119
USW00014771,WT01,Fog or ice fog or freezing fog,20200119
USW00014771,WT09,Blowing or drifting snow,20200119
USW00064776,WT01,Fog or ice fog or freezing fog,20200119
USW00094725,WT01,Fog or ice fog or freezing fog,20200119
USW00094725,WT08,Smoke or haze,20200119
USW00094728,WT01,Fog or ice fog or freezing fog,20200119
USW00094740,WT01,Fog or ice fog or freezing fog,20200119
USW00094740,WT08,Smoke or haze,20200119
USW00094790,WT01,Fog or ice fog or freezing fog,20200119
USW00094790,WT08,Smoke or haze,20200119
USC00306867,WT01,Fog or ice fog or freezing fog,20200120
USC00307750,WT01,Fog or ice fog or freezing fog,20200120
USW00004725,WT01,Fog or ice fog or freezing fog,20200120
USW00004725,WT08,Smoke or haze,20200120
USW00004725,WT09,Blowing or drifting snow,20200120
USW00014733,WT01,Fog or ice fog or freezing fog,20200120
USW00014768,WT01,Fog or ice fog or freezing fog,20200120
USW00014768,WT08,Smoke or haze,20200120
USW00014771,WT08,Smoke or haze,20200120
USW00094740,WT01,Fog or ice fog or freezing fog,20200120
USW00094740,WT08,Smoke or haze,20200120
USW00004724,WT01,Fog or ice fog or freezing fog,20200121
USW00004724,WT08,Smoke or haze,20200121
USW00004725,WT01,Fog or ice fog or freezing fog,20200121
USW00004725,WT08,Smoke or haze,20200121
USW00054757,WT01,Fog or ice fog or freezing fog,20200121
USW00054773,WT08,Smoke or haze,20200121
USW00064775,WT01,Fog or ice fog or freezing fog,20200121
USW00094704,WT01,Fog or ice fog or freezing fog,20200121
USW00094725,WT01,Fog or ice fog or freezing fog,20200121
USW00094725,WT08,Smoke or haze,20200121
USW00094790,WT08,Smoke or haze,20200121
USW00014750,WT01,Fog or ice fog or freezing fog,20200122
USW00014750,WT08,Smoke or haze,20200122
USW00004781,WT01,Fog or ice fog or freezing fog,20200123
USW00014750,WT01,Fog or ice fog or freezing fog,20200123
USW00014750,WT08,Smoke or haze,20200123
USW00004781,WT01,Fog or ice fog or freezing fog,20200124
USW00014732,WT08,Smoke or haze,20200124
USW00014757,WT08,Smoke or haze,20200124
USW00064776,WT01,Fog or ice fog or freezing fog,20200124
USW00094740,WT01,Fog or ice fog or freezing fog,20200124
