date,station_id,AWND,TAVG,TMAX,TMIN,WESF
20200103,USC00302036,,,72,-89,
20200103,USC00302151,,,67,50,
20200103,USC00302169,,,67,-39,
20200103,USC00302197,,,78,22,0
20200103,USC00302366,,,67,-94,
20200103,USC00302454,,,67,-72,
20200103,USC00302574,,,61,28,
20200103,USC00302610,,,78,-33,
20200103,USC00303025,,,50,-28,
20200103,USC00303050,,,72,-94,
20200103,USC00303087,,,106,6,
20200103,USC00303184,,,94,0,
20200103,USC00303322,,,0,-67,
20200103,USC00303346,,,67,-6,
20200103,USC00303773,,,78,39,
20200103,USC00303851,,,22,-61,
20200103,USC00303955,,,94,28,
20200103,USC00303983,,,61,-11,
20200103,USC00304102,,,6,-50,
20200103,USC00304174,,,78,-17,
20200103,USC00304207,,,67,-17,
20200103,USC00304555,,,11,-50,
20200103,USC00304575,,,89,-56,
20200103,USC00304731,,,56,-67,
20200103,USC00304808,,,56,0,
20200103,USC00304844,,,78,44,
20200103,USC00304912,,,61,-28,
20200103,USC00304996,,,56,-6,
20200103,USC00305113,,,67,-33,
20200103,USC00305142,,,61,39,
20200103,USC00305233,,,72,0,
20200103,USC00305426,,,78,22,
20200103,USC00305512,,,61,-56,
20200103,USC00305597,,,78,17,
20200103,USC00305606,,,117,61,
20200103,USC00305714,,,22,-67,
20200103,USC00306047,,,83,17,
20200103,USC00306085,,,72,-67,
20200103,USC00306164,,,61,-6,
20200103,USC00306196,,,83,6,
20200103,USC00306276,,,78,17,
20200103,USC00306314,,,83,56,
20200103,USC00306525,,,61,-28,
20200103,USC00306538,,,72,6,
20200103,USC00306747,,,83,61,
20200103,USC00306774,,,67,-33,
20200103,USC00307134,,,78,61,
20200103,USC00307484,,,61,-6,
20200103,USC00307520,,,94,-22,
20200103,USC00307705,,,72,-28,
20200103,USC00307742,0,,83,-50,
20200103,USC00307842,,,106,6,
20200103,USC00308248,,,,-22,
20200103,USC00308455,,,50,-11,
20200103,USC00308577,,,83,0,
20200103,USC00308578,,,83,0,
20200103,USC00308631,,,33,-50,
20200103,USC00308721,,,94,-39,
20200103,USC00308839,,,100,33,
20200103,USC00308910,,,67,11,
20200103,USC00308932,,,56,-94,
20200103,USC00308962,,,67,-6,
20200103,USC00309000,,,78,17,
20200103,USC00309049,,,89,44,
20200103,USC00309072,,,67,-61,
20200103,USC00309389,,,44,-17,
20200103,USC00309442,,,72,-56,
20200103,USC00309593,,,72,-6,
20200103,USC00309690,,,83,-11,
20200103,USR0000NGAN,,40,67,0,
20200103,USR0000NSAR,,51,78,28,
20200103,USR0000NSCH,,7,39,-17,
20200103,USR0000NSHR,,46,78,11,
20200103,USR0000NSTO,,64,78,39,
20200103,USW00004724,37,,72,33,
20200103,USW00004725,17,47,61,33,
20200103,USW00004781,26,69,78,61,
20200103,USW00004789,23,,67,28,
20200103,USW00014719,22,,83,61,
20200103,USW00014732,21,81,94,72,
20200103,USW00014733,34,73,83,44,
20200103,USW00014735,20,64,83,39,
20200103,USW00014743,,,67,17,
20200103,USW00014747,28,,83,44,
